fitness,benefit,cost,litterSize,numLost,numFixed,numTotal,percentFixed
-0.008,0.198,0.1,8,1023195,615,1023810,6.006973950244674e-4
-0.008,0.198,0.1,10,1023142,668,1023810,6.524648128070638e-4
-0.008,0.199,0.1,2,1023805,5,1023810,4.8837186587355076e-6
-0.008,0.199,0.1,4,1023342,468,1023810,4.571160664576435e-4
-0.008,0.199,0.1,6,1022985,825,1023810,8.058135786913588e-4
-0.008,0.199,0.1,8,1022719,1091,1023810,0.0010656274113360878
-0.008,0.199,0.1,10,1022698,1112,1023810,0.001086139029702777
-0.008,0.2,0.1,2,1023804,6,1023810,5.860462390482609e-6
-0.008,0.2,0.1,4,1023012,798,1023810,7.79441497934187e-4
-0.008,0.2,0.1,6,1022416,1393,1023809,0.0013606053472864567
-0.008,0.2,0.1,8,1022145,1665,1023810,0.001626278313358924
-0.008,0.2,0.1,10,1022069,1741,1023810,0.0017005108369717037
-0.008,0.201,0.1,2,1023803,7,1023810,6.837206122229711e-6
-0.008,0.201,0.1,4,1022564,1246,1023810,0.0012170226897568884
-0.008,0.201,0.1,6,1021801,2008,1023809,0.0019613033290389126
-0.008,0.201,0.1,8,1021369,2440,1023809,0.0023832570332942963
-0.008,0.201,0.1,10,1021266,2544,1023810,0.002484836053564626
-0.006,0.196,0.1,2,1014605,5,1014610,4.928001892352726e-6
-0.006,0.196,0.1,4,1014561,49,1014610,4.829441854505672e-5
-0.006,0.196,0.1,6,1014502,108,1014610,1.064448408748189e-4
-0.006,0.196,0.1,8,1014471,130,1014601,1.2812918575873667e-4
-0.006,0.196,0.1,10,1014422,178,1014600,1.7543859649122806e-4
-0.006,0.197,0.1,2,1014593,7,1014600,6.899270648531441e-6
-0.006,0.197,0.1,4,1014485,115,1014600,1.133451606544451e-4
-0.006,0.197,0.1,6,1014363,237,1014600,2.3358959195742164e-4
-0.006,0.197,0.1,8,1014266,334,1014600,3.291937709442145e-4
-0.006,0.197,0.1,10,1014220,373,1014593,3.676351009715226e-4
-0.006,0.198,0.1,2,1014583,7,1014590,6.899338649109493e-6
-0.006,0.198,0.1,4,1014359,231,1014590,2.2767817542061324e-4
-0.006,0.198,0.1,6,1014134,456,1014590,4.4944263199913264e-4
-0.006,0.198,0.1,8,1013934,656,1014590,6.46566593402261e-4
-0.006,0.198,0.1,10,1013953,637,1014590,6.278398170689639e-4
-0.006,0.199,0.1,2,1014587,3,1014590,2.9568594210469253e-6
-0.006,0.199,0.1,4,1014131,459,1014590,4.523994914201796e-4
