fitness,benefit,cost,litterSize,numLost,numFixed,numTotal,percentFixed
-0.01,0.196,0.1,8,684683,27,684710,3.943275255217537e-5
-0.01,0.196,0.1,10,995552,38,995590,3.816832230134895e-5
-0.01,0.197,0.1,2,1005605,5,1005610,4.972106482632432e-6
-0.01,0.197,0.1,4,999147,93,999240,9.307073375765582e-5
-0.01,0.197,0.1,6,1010160,80,1010240,7.918910357934748e-5
-0.01,0.197,0.1,8,684678,28,684706,4.089346376400966e-5
-0.01,0.197,0.1,10,995544,46,995590,4.620375857531715e-5
-0.01,0.198,0.1,2,1005603,7,1005610,6.960949075685405e-6
-0.01,0.198,0.1,4,999145,95,999240,9.507225491373444e-5
-0.01,0.198,0.1,6,1010152,87,1010239,8.611823538786366e-5
-0.01,0.198,0.1,8,684644,56,684700,8.178764422374763e-5
-0.01,0.198,0.1,10,995527,63,995590,6.327906065749957e-5
-0.01,0.199,0.1,2,1005602,8,1005610,7.955370372211891e-6
-0.01,0.199,0.1,4,999069,165,999234,0.00016512648688895695
-0.01,0.199,0.1,6,1010107,118,1010225,1.1680566210497662e-4
-0.01,0.199,0.1,8,684646,54,684700,7.886665693004236e-5
-0.01,0.199,0.1,10,995512,78,995590,7.834550367118994e-5
-0.01,0.2,0.1,2,1005604,6,1005610,5.966527779158918e-6
-0.01,0.2,0.1,4,999006,224,999230,2.241726129119422e-4
-0.01,0.2,0.1,6,1010066,154,1010220,1.5244204232741382e-4
-0.01,0.2,0.1,8,684601,99,684700,1.44588871038411e-4
-0.01,0.2,0.1,10,995474,116,995590,1.165138259725389e-4
-0.01,0.201,0.1,2,1015167,3,1015170,2.9551700700375305e-6
-0.01,0.201,0.1,4,1008460,330,1008790,3.2712457498587416e-4
-0.01,0.201,0.1,6,1019541,239,1019780,0.00023436427464747298
-0.01,0.201,0.1,8,694135,125,694260,1.8004782070117823e-4
-0.01,0.201,0.1,10,1005000,141,1005141,1.402788265526926e-4
-0.008,0.195,0.1,2,1005606,4,1005610,3.9776851861059455e-6
-0.008,0.195,0.1,4,999200,30,999230,3.0023117800706544e-5
-0.008,0.195,0.1,6,1010199,21,1010220,2.0787551226465524e-5
-0.008,0.195,0.1,8,684682,18,684700,2.628888564334745e-5
-0.008,0.195,0.1,10,995561,19,995580,1.9084352839550816e-5
-0.008,0.196,0.1,2,1005597,6,1005603,5.966569312144057e-6
-0.008,0.196,0.1,4,999176,52,999228,5.2040175015111666e-5
-0.008,0.196,0.1,6,1010174,46,1010220,4.5534636019876856e-5
-0.008,0.196,0.1,8,684673,27,684700,3.943332846502118e-5
-0.008,0.196,0.1,10,995539,41,995580,4.118202454850439e-5
-0.008,0.197,0.1,2,1005592,8,1005600,7.955449482895783e-6
-0.008,0.197,0.1,4,999139,81,999220,8.106322931886872e-5
-0.008,0.197,0.1,6,1010161,59,1010220,5.840312011245075e-5
-0.008,0.197,0.1,8,684666,34,684700,4.965678399298963e-5
-0.008,0.197,0.1,10,995543,37,995580,3.7164266055967376e-5
-0.008,0.198,0.1,2,1005598,2,1005600,1.9888623707239457e-6
-0.008,0.198,0.1,4,999078,136,999214,1.3610698008634787e-4
-0.008,0.198,0.1,6,1010135,85,1010220,8.414008829759854e-5
-0.008,0.198,0.1,8,684641,59,684700,8.616912516430554e-5
-0.008,0.198,0.1,10,995515,65,995580,6.528857550372648e-5
-0.008,0.199,0.1,2,1005597,3,1005600,2.983293556085919e-6
-0.008,0.199,0.1,4,999070,140,999210,1.4011068744308004e-4
-0.008,0.199,0.1,6,1010112,108,1010220,1.0690740630753697e-4
-0.008,0.199,0.1,8,684634,59,684693,8.617000611953094e-5
-0.008,0.199,0.1,10,995495,85,995580,8.537736796641154e-5
-0.008,0.2,0.1,2,1005595,5,1005600,4.972155926809865e-6
-0.008,0.2,0.1,4,999006,204,999210,2.0416128741705948e-4
-0.008,0.2,0.1,6,1010045,175,1010220,1.7322959355387936e-4
-0.008,0.2,0.1,8,684600,90,684690,1.3144634798229856e-4
-0.008,0.2,0.1,10,995469,111,995580,1.1149279816790213e-4
-0.008,0.201,0.1,2,1015157,3,1015160,2.9551991804247604e-6
-0.008,0.201,0.1,4,1008476,294,1008770,2.914440358059815e-4
-0.008,0.201,0.1,6,1019541,239,1019780,0.00023436427464747298
-0.008,0.201,0.1,8,694140,109,694249,1.5700418725846202e-4
-0.008,0.201,0.1,10,1004996,144,1005140,1.432636249676662e-4
-0.006,0.195,0.1,2,1005593,7,1005600,6.961018297533811e-6
