fitness,benefit,cost,litterSize,numInter,numLost,numFixed,numTotal,percentFixed
-0.006,0.198,0.1,4,6,1000176,24,1000200,2.399520095980804e-5
-0.006,0.199,0.1,4,1,1000280,140,1000420,1.3994122468563203e-4
-0.006,0.199,0.1,4,3,1000323,97,1000420,9.695927710361648e-5
-0.006,0.199,0.1,4,6,1000347,59,1000406,5.8976055721377124e-5
-0.006,0.2,0.1,4,1,1000325,145,1000470,1.4493188201545272e-4
-0.006,0.2,0.1,4,3,1000305,155,1000460,1.5492873278291985e-4
-0.006,0.2,0.1,4,6,1000316,144,1000460,1.4393379045639007e-4
-0.006,0.201,0.1,4,1,1000348,182,1000530,1.8190359109671874e-4
-0.006,0.201,0.1,4,3,1000327,203,1000530,2.0289246699249397e-4
-0.006,0.201,0.1,4,6,1000307,216,1000523,2.1588709105138014e-4
0,0.196,0.1,4,1,1000204,36,1000240,3.599136207310246e-5
0,0.196,0.1,4,3,1000240,0,1000240,0
0,0.196,0.1,4,6,1000240,0,1000240,0
0,0.197,0.1,4,1,1000191,40,1000231,3.999076213394706e-5
0,0.197,0.1,4,3,1000227,3,1000230,2.999310158663507e-6
0,0.197,0.1,4,6,1000230,0,1000230,0
0,0.198,0.1,4,1,1000144,66,1000210,6.59861429099889e-5
0,0.198,0.1,4,3,1000191,9,1000200,8.998200359928014e-6
0,0.198,0.1,4,6,1000200,0,1000200,0
0,0.199,0.1,4,1,1000308,112,1000420,1.1195297974850563e-4
0,0.199,0.1,4,3,1000389,31,1000420,3.098698546610424e-5
0,0.199,0.1,4,6,1000416,4,1000420,3.998320705303773e-6
0,0.2,0.1,4,1,1000313,167,1000480,1.6691987845834e-4
0,0.2,0.1,4,3,1000348,119,1000467,1.189444529404768e-4
0,0.2,0.1,4,6,1000387,72,1000459,7.19669671620726e-5
0,0.201,0.1,4,1,1000311,218,1000529,2.1788473897308325e-4
0,0.201,0.1,4,3,1000247,281,1000528,2.808517102969632e-4
0,0.201,0.1,4,6,1000037,493,1000530,4.927388484103425e-4
