fitness,benefit,cost,litterSize,numLost,numFixed,numTotal,percentFixed
-0.012,0.21,0.1,6,999625,385,1000010,3.849961500384996e-4
-0.012,0.21,0.1,8,999793,217,1000010,2.1699783002169978e-4
-0.012,0.21,0.1,10,999840,170,1000010,1.6999830001699983e-4
-0.01,0,0,2,999782,268,1000050,2.679866006699665e-4
-0.01,0,0,4,999897,153,1000050,1.5299235038248088e-4
-0.01,0,0,6,999938,112,1000050,1.11994400279986e-4
-0.01,0,0,8,999936,114,1000050,1.1399430028498575e-4
-0.01,0,0,10,999973,77,1000050,7.699615019249038e-5
-0.01,0.19,0.1,2,1005023,6,1005029,5.96997698573872e-6
-0.01,0.19,0.1,4,1004990,20,1005010,1.990029949950747e-5
-0.01,0.19,0.1,6,1004938,42,1004980,4.179187645525284e-5
-0.01,0.19,0.1,8,1004921,39,1004960,3.8807514726954306e-5
-0.01,0.19,0.1,10,1004904,39,1004943,3.88081712097104e-5
-0.01,0.196,0.1,2,1132839,11,1132850,9.710023392329081e-6
-0.01,0.196,0.1,4,1132714,96,1132810,8.474501460968742e-5
-0.01,0.196,0.1,6,1132696,94,1132790,8.29809585183485e-5
-0.01,0.196,0.1,8,1132696,74,1132770,6.532658880443514e-5
-0.01,0.196,0.1,10,1132644,79,1132723,6.974344124733054e-5
-0.01,0.197,0.1,2,1132842,8,1132850,7.06183519442115e-6
-0.01,0.197,0.1,4,1132685,125,1132810,1.1034507110636383e-4
-0.01,0.197,0.1,6,1132695,95,1132790,8.386373467279902e-5
-0.01,0.197,0.1,8,1132678,92,1132770,8.12168401352437e-5
-0.01,0.197,0.1,10,1132643,77,1132720,6.797796454551875e-5
-0.01,0.198,0.1,2,1132842,8,1132850,7.06183519442115e-6
-0.01,0.198,0.1,4,1132662,148,1132810,1.3064856418993476e-4
-0.01,0.198,0.1,6,1132665,125,1132790,1.103470193063145e-4
-0.01,0.198,0.1,8,1132673,97,1132770,8.563079883824607e-5
-0.01,0.198,0.1,10,1132626,94,1132720,8.298608658803588e-5
-0.01,0.199,0.1,2,1132845,5,1132850,4.413646996513219e-6
